"Id","CompanyName","Country"
"1","N/A","Italy"
"2","Reederi Nord","Germany"
"3","Royal Caribbean","United States"
"4","MSC","N/A"
"5","Princess Cruises","N/A"
"6","TUI CRUISES","N/A"
"7","Carnival","N/A"
"8","Trasmediterranea","N/A"
"9","Norwegian","N/A"
"10","Island Shipping","N/A"
"11","Celebrity","N/A"
"12","Pullmantur","N/A"
"13","Ibero Cruises","N/A"
"14","VIVA cruises","N/A"
"15","Petroleos de Roatan","N/A"
"16","Rowanreliance","N/A"
"17","Seahawk corporation limited","N/A"
"18","STARBOARD","N/A"
"19","FRS","N/A"
"20","UNIVERSE CRUISES LTD","N/A"
"21","JG Maritime Agency","N/A"
"22","Utila Dream Ferry","N/A"
"24","Dream Ferries","Honduras"
"25","PANAMA CANAL AUTHORITY - PANAMA","Panama"
"26","SAAM SMIT TOWAGE PANAMA","Panama"
"27","Croisiere de France","France"
"28","VLB Shipping & Brokerage Agency LTD.","N/A"
"29","SWEET SPA ",""
"30","Caribbean Express",""
"31","Costa Cruise Lines",""
"32","Hyde Shipping",""
"33","Virgin Voyages","N/A"
"34","DFDS SEAWAYS",""
"35","Ferrys del Caribe","N/A"
"36","CORE MARINE - ATHENS GREECE","Greece"
"37","OSTENSJO REDERI","Norway"
"38","CMI Leisure Management",""
"39","Caribbean transport","N/A"
"40","Caribean Ferris","N/A"
"41","ABS INTERNATIONAL LTD",""
"42","FINCANTIERI CASTELLAMMARE",""
"43","Trasmed","N/A"
"44","GODBY SHIPPING",""
"45","Ibernor",""
"46","","MEDNAV INTERNATIONAL"",""
"47","","Commercial Shipmanagement"",""
"48","DAMEN MARINE SERVICES",""
"49","DAMEN MARINE SERVICES ",""
"50","PELAGIC EXPRESS",""
"51","EURONAV",""
"52","MOBY",""
"53","Baleria",""
"54","Forever Oceans Panama",""
"55","GIBRALTAR UNDERWATER CONTRACTORS",""
"56","STAR SHIPPING",""
"57","NAVESCO",""
"58","Bahamas Ferries",""
"59","HARBOR SHIPPING & TRADING ",""
